Country	isoa3	Type of government 2013	Lobby firm	Source
Azerbaijan	AZE	Authoritarian regime	The European Azerbaijan Society	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Azerbaijan	AZE	Authoritarian regime	CSM Strategic PR	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Azerbaijan	AZE	Authoritarian regime	APCO PR	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Bahrein	BHR	Authoritarian regime	M&C Saatchi	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Bahrein	BHR	Authoritarian regime	Dragon Associates	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Bahrein	BHR	Authoritarian regime	Big Tent 	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Bahrein	BHR	Authoritarian regime	G3	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Bahrein	BHR	Authoritarian regime	Meade Hall & Associates	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Bahrein	BHR	Authoritarian regime	Protection Group International	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Bahrein	BHR	Authoritarian regime	Bell Pottinger	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Bangladesh	BGD	Hybrid regime	BGR Gabara	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Benin	BEN	Authoritarian regime	35°Nord	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Côte d'Ivoire	CIV	Authoritarian regime	BTP Advisers	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Côte d'Ivoire	CIV	Authoritarian regime	35°Nord	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Côte d'Ivoire	CIV	Authoritarian regime	Image Sept	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
DR Congo	COD	Authoritarian regime	Public Systeme Hopscotch	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
DR Congo	COD	Authoritarian regime	35°Nord	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Ethiopia	ETH	Authoritarian regime	Eurofuture	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Kazakhstan	KAZ	Authoritarian regime	Bell Pottinger	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Kazakhstan	KAZ	Authoritarian regime	Consultum Communications	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Kazakhstan	KAZ	Authoritarian regime	Tony Blair Associates	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Kazakhstan	KAZ	Authoritarian regime	Portland Communications	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Nigeria	NGA	Authoritarian regime	Bell Pottinger	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Nigeria	NGA	Authoritarian regime	Levick	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Qatar	QAT	Authoritarian regime	Portland Communications	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Russia	RUS	Authoritarian regime	Ketchum	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Russia	RUS	Authoritarian regime	GPlus	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Russia	RUS	Authoritarian regime	Institute for Democracy and Cooperation	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Russia	RUS	Authoritarian regime	Brunswick	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Russia	RUS	Authoritarian regime	Hill & Knowlton	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Russia	RUS	Authoritarian regime	Weber Shandwick	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Rwanda	RWA	Authoritarian regime	Portland Communications	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Rwanda	RWA	Authoritarian regime	GPlus	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Rwanda	RWA	Authoritarian regime	BTP Advisers	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Rwanda	RWA	Authoritarian regime	Acanchi	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Uzbekistan	UZB	Authoritarian regime	Cotton Outlook	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Uzbekistan	UZB	Authoritarian regime	Uzbek-British Trade and Industry Council	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf
Uzbekistan	UZB	Authoritarian regime	British-Uzbek Society 	http://corporateeurope.org/sites/default/files/20150120_spindoctors_mr.pdf